time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,State
2014-11-19 08:58:37.695,53,53,52.3375,4.853893,11.32705,15.31,84.5164,8,5,1416383917,-0.3287811,-0.003997803,-0.9262238,-10.872,49.28302,1.049713,30.44508,29.86264,26,0.01929167,0.004654407,-0.008228902,0.6331639,-0.3255084,0.008292844,-0.0137527,0.005085156,0.0006274942,0.06562914,0.001838281,0.04544763,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:38.695,54,54,52.33752,4.854116,12.02621,15.14,85.23636,12,5,1416383918,-0.3382416,0.006942749,-0.9284668,-12.57751,50.82144,1.674088,30.48183,29.89939,26,-5.672533e-05,-0.009394301,-0.009431851,0.6351236,-0.3216386,-0.00784849,0.006462174,-0.002301328,0.003160356,0.03943948,0.003275248,0.009938248,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:39.695,55,55,52.33754,4.85434,12.02871,15.14,85.23636,12,10,1416383919,-0.2945709,0.0161438,-0.9099426,-11.21654,50.00903,1.049759,30.43571,29.85327,26,0.02611656,-0.01812468,-0.0009574064,0.6363816,-0.3217963,-0.01428096,-0.003312393,-0.0118927,0.01383018,-0.02574105,0.02498038,-0.02077301,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:40.695,56,56,52.33757,4.854596,12.23373,15.4,85.80781,12,10,1416383920,-0.3350067,-0.0008392334,-0.9190674,-11.76781,50.66586,0.4760437,30.39454,29.81211,26,0.008166583,-0.01673504,-0.001053014,0.6364526,-0.3169218,-0.0102661,-0.004342545,-0.007106547,0.004241824,-0.0612218,-0.002010915,-0.003815084,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:41.695,57,57,52.33757,4.854805,12.47866,15.3,85.23636,12,5,1416383921,-0.3577576,-0.02220154,-0.9235077,-12.16405,50.7523,0.8979034,30.36899,29.78656,26,0.007234477,-0.006970824,-0.01889247,0.6367171,-0.314907,-0.005926869,-0.001797315,-6.533427e-05,-0.004149006,0.04431124,-0.0234897,0.02405067,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:42.695,58,58,52.33759,4.855025,13.67385,15.3,84.375,12,10,1416383922,-0.3580627,-0.003570557,-0.9154968,-12.3191,50.87332,1.150986,30.39342,29.81098,26,0.02637914,-0.001405883,-0.005789978,0.6368717,-0.316321,0.0001922702,0.0008191307,0.002120996,-0.004269634,-0.05046958,0.01746522,0.01497673,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:43.695,59,59,52.3376,4.855248,13.6827,15.3,84.375,12,10,1416383923,-0.3028717,0.009735107,-0.9820862,-11.78503,51.72038,1.066666,30.40369,29.82125,26,0.02275937,-0.007221428,-0.01288784,0.6350746,-0.3147852,0.002951127,0.003603733,0.0007108646,-0.0102969,-0.04089881,-0.01098015,0.006065082,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:44.695,60,60,52.33758,4.855483,16.29934,15.48,85.07812,12,5,1416383924,-0.2222443,-0.05982971,-0.9104767,-12.02624,51.61664,1.134155,30.50338,29.92095,26,0.01928848,0.00116247,-0.01413659,0.6299265,-0.3192361,0.007264107,0.002577389,0.00630625,-0.003287049,-0.0301153,-0.002135372,-0.0007601828,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:45.695,61,61,52.33759,4.855704,16.57138,15.65,85.07812,12,5,1416383925,-0.248703,0.005218506,-0.9685059,-13.26662,53.27605,3.327698,30.66364,30.0812,26,0.02405953,0.002237055,-0.009377789,0.6280743,-0.3199924,-0.002208173,-0.005892879,0.000252416,0.00160016,0.0339189,-0.04354423,0.08081204,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:46.696,62,62,52.33761,4.855932,17.19748,15.83,84.72656,8,5,1416383926,-0.2898712,-0.006103516,-0.9073639,-13.16325,53.62178,2.686478,30.8231,30.24066,26,0.0008032094,-0.02509204,0.007254185,0.6287221,-0.3177009,0.03498423,-0.009569695,-0.01052232,0.008776658,0.04615523,0.01391996,0.02945298,0.0.0.0,10.167.22.1,5,0
